 Metabolite_name	RefMet_name	AF_1-1	AF_1-2	AF_1-3	AF_2-1	AF_2-2	AF_2-3	AF_3-1	AF_3-2	AF_3-3	AF_4-1	AF_4-2	AF_4-3	AF_5-1	AF_5-2	AF_5-3	AF_6-1	AF_6-2	AF_6-3	AF_7-1	AF_7-2	AF_7-3	AF_8-1	AF_8-2	AF_8-3	NoAF_1-1	NoAF_1-2	NoAF_1-3	NoAF_2-1	NoAF_2-2	NoAF_2-3	NoAF_3-1	NoAF_3-2	NoAF_3-3	NoAF_4-1	NoAF_4-2	NoAF_4-3	NoAF_5-1	NoAF_5-2	NoAF_5-3	NoAF_6-1	NoAF_6-2	NoAF_6-3	NoAF_7-1	NoAF_7-2	NoAF_7-3	NoAF_8-1	NoAF_8-2	NoAF_8-3
Factors	-	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media
1_5-Anhydro-glucitol-4TMS	1,5-Anhydrosorbitol																																																
3-Hydroxyanthranilic acid-2TMS	3-Hydroxyanthranilic acid			1674															2037					1887																	1517								
3-Hydroxyanthranilic acid-3TMS	3-Hydroxyanthranilic acid																																																
3-Hydroxybutyric acid-2TMS	3-Hydroxybutyric acid			2421		2045					876	956								1752			2977	2608									4606		1852					3748		3331		4856					
3-Hydroxyglutaric acid-3TMS	3-Hydroxyglutaric acid			2089		2093									1135				914		4348	1415															2044	1758											
3-Hydroxyisobutyric acid-2TMS	3-Hydroxyisobutyric acid	38912	41637	58776	43126			34627	50547	49331	38673	43788	37813	36906	45351	49493		44592	45619	36005	87016	45087	41883	45341	38649	47738	40671	47950	51151	46736	55304	50065	59156	60697	56011	63144	68877	50052	55693	52907	48797	54763	64340			54633	49859	57470	47545
3-Hydroxyisovaleric acid-2TMS	3-Hydroxyisovaleric acid	61286	56286	90108	54174	65794	72562	68370	89234	79636	58061	72122	64707	64527	78573	90116	68826	95862	84670	74555	164136	79592	74793	84850	80364	55134	57250	59517	60484	73899	70929	63161	100119	111953	77563	100366	81538	66586	75362	72910	75941	85939	88167	87203	79825	90041	86695	139548	88265
3-Hydroxy-kynurenine-3TMS	Hydroxykynurenine																																																
3-Hydroxyphenylacetic acid-2TMS	3-Hydroxyphenylacetic acid																																																
3-Hydroxypropionic acid-2TMS												1876			186								142						526		3420														282				
3-Hydroxypyruvic acid-meto-2TMS(1)	Hydroxypyruvic acid																																																
3-Hydroxypyruvic acid-meto-2TMS(2)	Hydroxypyruvic acid																																																
3-Methoxy-4-hydroxybenzoic acid-2TMS	Vanillic acid	4725																			29626														2396														
3-Methyl-2-oxovaleric acid-meto-TMS(1)	3-Methyl-2-oxovaleric acid	712				867			1058						2987	1516													1044		1519		1911										1447						
3-Methyl-2-oxovaleric acid-meto-TMS(2)	3-Methyl-2-oxovaleric acid		3128													4353				2680					3320							3935	4072			2261	3983						4756						
3-Methyladipic acid-2TMS	3-Methyl-adipic acid																				5947																												
3-Methylcrotonoylglycine-2TMS																																																	
3-Methylcrotonoylglycine-TMS																								430																									
3-Methylglutaric acid-2TMS	Methylglutaric acid																				151555																												
3-Phenyllactic acid-2TMS	Phenyllactic acid			7138			3541	4342		5807			3495		6088		1508	2688	6744									5993		4706		3614	6665	4924	3962	6984	4208	4608				5320			3530	4553	5370		
3-Phosphoglyceric acid-4TMS	3-Phosphoglyceric acid	13943	9257	13365	10461	12867		14265	14137		10326			12762	14319		10079	10840	10803	12128	8333	13491	11019	12340	9533	18529	18165	18228	22640	15307	14536	18396		17752		19366	16730	15634		13105	17493	17138	15420	11955	9841	13720	10231	10415	
3-Sulfinoalanine-3TMS	3-Sulfino-alanine			10627		3106	2000		4638							4326		4642				12818				7525	3332	5636	13721		4547		10036	2639	8655	14299	5158	10975	3548						6636	11608		11502	4626
4-Aminobenzoic acid-2TMS	p-Aminobenzoic acid																				2880																												
4-Aminobenzoic acid-TMS	p-Aminobenzoic acid				8521	9000					8081	11584		8751												710		895			4690					448		9496	11428				12087		7882			8078	
4-Aminobutyric acid-2TMS	4-Aminopentanoic acid																																																
4-Aminobutyric acid-3TMS	4-Aminopentanoic acid	401400	445848	623912	489756	580914	604012	413516	546775	547535	525287	654407	480869	484253	659859	694442	647843	677560	654630	502191	671289	706975	699463	678456	705423	515247	437275	530219	653178	495892	644906	524239	595965	539267	555534	750485	797755	631945	703397	597795	720068	783664	870596	672942	604942	722455	679478	874368	628954
4-Hydroxybenzoic acid-13C6-2TMS	4-Hydroxybenzoic acid																																																
4-Hydroxybenzoic acid-2TMS	4-Hydroxybenzoic acid	3189	3968		5037	3698	5444	4342	3226	5242		9252	5199	4511		4228	3892	3974	4531	3860	142182	7190	4825	6728	3529	5301	5247	5264	3497	5892	3723		2933	4148	18408		6443	5113	2663	4179	4127	4025	4033		3099		5136	4431	4852
4-Hydroxyphenylacetic acid-2TMS	4-Hydroxyphenylacetic acid																																																
4-Hydroxyphenyllactic acid-3TMS	4-Hydroxyphenyllactic acid	80808	83553	107960	84623	102437	91389	83890	98377	91418	1711	98431	73824	74998	108337	108581	94209	97855	94025	85316	108739	106810	93781	115015	93483	89406	74941	87847	92267	76342	87451	82181	95565	84860	86846	6865	96399	75537	76554	83687	2264	92172	105891	88905	78512	93994	100140	117560	100794
4-Hydroxyphenylpyruvic acid-meto-2TMS	4-Hydroxyphenylpyruvic acid												220								1933					800	719	2075							1022						712								
4-Hydroxyproline-3TMS	cis-4-Hydroxyproline							6194	13953																								12361													14506			
5-Aminolevulinic acid-meto-3TMS(1)	5-Amino-levulinic acid																419																																
5-Aminolevulinic acid-meto-3TMS(2)	5-Amino-levulinic acid																																																
5-Aminovaleric acid-2TMS	5-Aminopentanoic acid																																																
5-Aminovaleric acid-3TMS	5-Aminopentanoic acid	229216	242686	318879	260822	299584	289609	218300	313837	298229	289056	335068	241913	240253	304906	309938	317120	328958	321797	246676	319014	319162	336812	321527	322662	310318	269366	301057	365086	272930	339307	308116	338103	276559	272090	366947	369049	332620	368251	307532	349360	380572	406032	320285	291821	331059	326450	372376	273119
5-Dehydroquinic acid-5TMS	3-Dehydroquinic acid																																		434														
5-Dehydroquinic acid-meto-4TMS	3-Dehydroquinic acid																																																
5-Hydroxymethyl-2-furoic acid-2TMS	Sumiki's acid																																																
5-Hydroxy-tryptophan-4TMS	5-Hydroxy-tryptophan																																																
5-Methoxytryptamine-2TMS	5-Methoxytryptamine	3828	3499	7836	11089	8064	3725	10260	13598	11250	5591	6029	3236	5089	4649	13065	12333	11763	11644	5699	6327	18235	16624	12273	7206	11987	14873	15405	20747	8490	8001	11404	13035	9627	12482	17656	18064	16661	21616	10731	13069	9047	14958	9731	1941	7749	14028	11126	5651
5-Methoxytryptamine-3TMS	5-Methoxytryptamine	3166	2468	8423	3073	2536		1961	4291	11403	1773	3190	11006	6811		2712		5920	5477	2546	1623	15629	18911	5008	5675	2244	5154	17484	6616	4677	4686	15252	16885	13194	4250	5744	3152	18401	20737		19330	9527	3484	19067	4135	22448	4205	4252	14815
5^-Methylthioadenosine-2TMS	5'-Methylthioadenosine																																																
5^-Methylthioadenosine-3TMS	5'-Methylthioadenosine							866	1774			915												5884					2484							6138													
5-Oxoproline-2TMS	Pyroglutamic acid				5699					4881			1935			1878		4717					4578								9800			1595														3586	2268
6-Phosphogluconic acid-7TMS	6-Phosphogluconic acid																																																
7-Methylguanine-2TMS	7-Methylguanine	34791	30043	39862	31598	30924	25954	26999	36720	33638	29230	34009	24184	27743	34942	37198	30755	30953	28058	32020	3117	26728	36681	36609	34484	49138	114298	50883	70455	49331	43439	45607	43856	37888	50931	53524	45198	46746	39139	35786	46740	49305	51997	36193	74274	38244	35109	42668	46535
Acetoacetic acid-2TMS(1)	Acetoacetic acid																																																
